Event	ID	Name			Wwise Object Path	Notes
	773862064	COLL_Minion			\Collisions\COLL_Minion	
	1280297747	MUS_Play			\Music\MUS_Play	
	1402340918	UI_HIghlight			\UI\UI_HIghlight	
	1627453353	COLL_Ball			\Collisions\COLL_Ball	
	2031107581	EMIT_Powerup			\Emitters\EMIT_Powerup	
	2381502256	AMB_Play			\Ambience\AMB_Play	
	2401631563	EMIT_Score			\Emitters\EMIT_Score	
	2428166787	UI_Confirm_Play			\UI\UI_Confirm_Play	
	2436315639	EMIT_Shop			\Emitters\EMIT_Shop	
	2792663994	OBJ_Minion_Die			\Minion\OBJ_Minion_Die	
	2862290544	OBJ_Minion_Set			\Minion\OBJ_Minion_Set	
	2883100974	COLL_Bumpers			\Collisions\COLL_Bumpers	
	2912873858	UI_Confirm_QuitGame			\UI\UI_Confirm_QuitGame	
	3020718913	UI_ResumeGame			\UI\UI_ResumeGame	
	3258129853	PLYR_Paddle_Move			\Player\PLYR_Paddle_Move	
	3783962382	UI_PauseGame			\UI\UI_PauseGame	
	4060032068	UI_Confirm_Generic			\UI\UI_Confirm_Generic	

Switch Group	ID	Name			Wwise Object Path	Notes
	2600048462	Powerups			\Powerups\Powerups	
	3068666232	MinionSize			\Minions\MinionSize	
	4233847531	MinionType			\Minions\MinionType	

Switch	ID	Name	Switch Group			Notes
	1635194252	P1	Powerups			
	1635194254	P3	Powerups			
	1635194255	P2	Powerups			
	981339021	Med	MinionSize			
	1846755610	Small	MinionSize			
	2732489590	Heavy	MinionSize			
	3460057008	Heaven	MinionType			
	3632828376	Hell	MinionType			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	30548152	UI_Select	.cache\0C\{0C058CAB-9E49-93AD-7810-0A004F9ED06E}.wem		\Containers\UI\UI\UI_Highlight\UI_Highlight\UI_Select		176576
	39793514	SFX_Obj_Minion_Death_Heaven_Fire_04	.cache\6B\{6B0E3D0B-271A-3D34-ACE2-9FDC2581CEED}.wem		\Containers\Ingame\Ingame\Minions\OBJ_Minion_Die\OBJ_Minion_Die\OBJ_Minion_Type\OBJ_Minion_Heaven\OBJ_Minion_Heaven_Fire\SFX_Obj_Minion_Death_Heaven_Fire_04		168096
	44531392	SFX_Obj_Shop_Souls_Growls_01	.cache\A0\{A0CF3A92-5328-F7FF-82CA-FBE464A7C9AE}.wem		\Containers\Ingame\Ingame\Emitters\Shop\EMIT_Shop\EMIT_Souls\EMIT_Shop_Souls_Growls\SFX_Obj_Shop_Souls_Growls_01		336844
	67106732	SFX_Coll_Min_Impt_01	.cache\CD\{CDBA7E5C-CA79-F590-3466-ADEF4A22AA8E}.wem		\Containers\Ingame\Ingame\Collisions\COLL_Minions\COLL_Minion\COLL_Min_Impt\SFX_Coll_Min_Impt_01		38496
	117797525	SFX_Obj_Minion_Death_Heaven_Explosion_03	.cache\51\{51269A12-9549-4ABD-382B-832480646260}.wem		\Containers\Ingame\Ingame\Minions\OBJ_Minion_Die\OBJ_Minion_Die\OBJ_Minion_Type\OBJ_Minion_Heaven\OBJ_Minion_Heaven_Explosion\SFX_Obj_Minion_Death_Heaven_Explosion_03		80096
	128560638	SFX_Coll_Bumpers_01	.cache\BB\{BB4989C0-B996-647F-5C7D-2B8AF9D1CE50}.wem		\Containers\Ingame\Ingame\Collisions\COLL_Bumpers\COLL_Bumpers\SFX_Coll_Bumpers_01		30802
	130778159	SFX_Paddle_Move_01	.cache\AD\{AD8D362B-D001-AD25-D067-141BE41B459C}.wem		\Containers\Ingame\Ingame\Player\Paddle\PLYR_Paddle_Move\SFX_Paddle_Move_01		40192
	138002598	SFX_Paddle_Move_05	.cache\31\{31AEBBDA-6EEF-A8F6-F2C1-605DBC9DDD90}.wem		\Containers\Ingame\Ingame\Player\Paddle\PLYR_Paddle_Move\SFX_Paddle_Move_05		40192
	139311002	SFX_Obj_Minion_Death_Hell_Explosion_02	.cache\5E\{5EB7C3D2-14D7-27E7-A447-01B3EF440F90}.wem		\Containers\Ingame\Ingame\Minions\OBJ_Minion_Die\OBJ_Minion_Die\OBJ_Minion_Type\OBJ_Minion_Hell\OBJ_Minion_Hell_Explosion\SFX_Obj_Minion_Death_Hell_Explosion_02		70496
	180062318	SFX_Coll_Min_Hammer_01	.cache\87\{8786B45D-AC1D-0AFC-ACF5-7A13A5188065}.wem		\Containers\Ingame\Ingame\Collisions\COLL_Minions\COLL_Minion\COLL_Min_Type\COLL_Minion_Heaven\COLL_Min_Heaven_Hammer\SFX_Coll_Min_Hammer_01		43460
